E17 S 臂 seed=101 device=cuda:0 target=s0 out=cache/adatask_win_s0_27k_siteA
[S s101] epoch 0 valid_macro=0.724493 loss=0.462979 skip=0 (500.6s, best=0.724493@0)
[S s101] epoch 1 valid_macro=0.733455 loss=0.457291 skip=0 (521.6s, best=0.733455@1)
[S s101] epoch 2 valid_macro=0.737945 loss=0.455751 skip=0 (507.2s, best=0.737945@2)
[S s101] epoch 3 valid_macro=0.742423 loss=0.454796 skip=0 (524.0s, best=0.742423@3)
[S s101] epoch 4 valid_macro=0.740053 loss=0.454142 skip=0 (588.3s, best=0.742423@3)
[S s101] epoch 5 valid_macro=0.739685 loss=0.453653 skip=0 (506.0s, best=0.742423@3)
[S s101] epoch 6 valid_macro=0.741132 loss=0.453295 skip=0 (508.5s, best=0.742423@3)
[S s101] epoch 7 valid_macro=0.742792 loss=0.452998 skip=0 (506.0s, best=0.742792@7)
[S s101] epoch 8 valid_macro=0.743160 loss=0.452775 skip=0 (507.8s, best=0.743160@8)
[S s101] epoch 9 valid_macro=0.742847 loss=0.452595 skip=0 (525.3s, best=0.743160@8)
[S s101] epoch 10 valid_macro=0.743021 loss=0.452441 skip=0 (506.4s, best=0.743160@8)
[S s101] epoch 11 valid_macro=0.742816 loss=0.452318 skip=0 (502.5s, best=0.743160@8)
[S s101] epoch 12 valid_macro=0.740347 loss=0.452210 skip=0 (546.2s, best=0.743160@8)
[S s101] epoch 13 valid_macro=0.741278 loss=0.452119 skip=0 (525.7s, best=0.743160@8)
[S s101] epoch 14 valid_macro=0.741265 loss=0.452040 skip=0 (503.8s, best=0.743160@8)
[S s101] epoch 15 valid_macro=0.741119 loss=0.451967 skip=0 (542.3s, best=0.743160@8)
[S s101] epoch 16 valid_macro=0.740046 loss=0.451910 skip=0 (516.8s, best=0.743160@8)
[S s101] epoch 17 valid_macro=0.741984 loss=0.451857 skip=0 (503.4s, best=0.743160@8)
[S s101] epoch 18 valid_macro=0.741228 loss=0.451793 skip=0 (523.5s, best=0.743160@8)
[S s101] 完成 → cache/adatask_win_s0_27k_siteA/run_e17_S_s101.json best_valid_macro=0.743160@8 test_s0=0.7118207510609601
E17 T 臂 seed=101 device=cuda:0 target=s0 out=cache/adatask_win_s0_27k_siteA
[T s101] epoch 0 valid_macro=0.727360 loss=0.464097 skip=0 (990.7s, best=0.727360@0)
[T s101] epoch 1 valid_macro=0.726694 loss=0.457751 skip=0 (1000.4s, best=0.727360@0)
[T s101] epoch 2 valid_macro=0.733572 loss=0.456178 skip=0 (1002.2s, best=0.733572@2)
[T s101] epoch 3 valid_macro=0.735822 loss=0.455271 skip=0 (1003.3s, best=0.735822@3)
[T s101] epoch 4 valid_macro=0.735238 loss=0.454658 skip=0 (1009.2s, best=0.735822@3)
[T s101] epoch 5 valid_macro=0.736406 loss=0.454206 skip=0 (1005.5s, best=0.736406@5)
[T s101] epoch 6 valid_macro=0.735813 loss=0.453849 skip=0 (1002.5s, best=0.736406@5)
[T s101] epoch 7 valid_macro=0.736246 loss=0.453540 skip=0 (989.7s, best=0.736406@5)
[T s101] epoch 8 valid_macro=0.736340 loss=0.453268 skip=0 (1014.5s, best=0.736406@5)
[T s101] epoch 9 valid_macro=0.736118 loss=0.453081 skip=0 (1005.4s, best=0.736406@5)
[T s101] epoch 10 valid_macro=0.735773 loss=0.452925 skip=0 (999.7s, best=0.736406@5)
[T s101] epoch 11 valid_macro=0.736163 loss=0.452792 skip=0 (997.4s, best=0.736406@5)
[T s101] epoch 12 valid_macro=0.736203 loss=0.452684 skip=0 (984.6s, best=0.736406@5)
[T s101] epoch 13 valid_macro=0.735580 loss=0.452587 skip=0 (980.3s, best=0.736406@5)
[T s101] epoch 14 valid_macro=0.736404 loss=0.452500 skip=0 (989.8s, best=0.736406@5)
[T s101] epoch 15 valid_macro=0.735914 loss=0.452421 skip=0 (999.4s, best=0.736406@5)
[T s101] 完成 → cache/adatask_win_s0_27k_siteA/run_e17_T_s101.json best_valid_macro=0.736406@5 test_s0=0.7093712492402275
E17 A 臂 seed=101 device=cuda:0 target=s0 out=cache/adatask_win_s0_27k_siteA
[A s101] epoch 0 valid_macro=0.730274 loss=0.465486 skip=0 (1111.6s, best=0.730274@0)
[A s101] epoch 1 valid_macro=0.730459 loss=0.458389 skip=0 (1176.3s, best=0.730459@1)
[A s101] epoch 2 valid_macro=0.739845 loss=0.456652 skip=0 (1142.7s, best=0.739845@2)
[A s101] epoch 3 valid_macro=0.741853 loss=0.455728 skip=0 (1196.6s, best=0.741853@3)
[A s101] epoch 4 valid_macro=0.740826 loss=0.455095 skip=0 (1199.1s, best=0.741853@3)
[A s101] epoch 5 valid_macro=0.741385 loss=0.454619 skip=0 (1195.5s, best=0.741853@3)
[A s101] epoch 6 valid_macro=0.741877 loss=0.454256 skip=0 (1170.2s, best=0.741877@6)
[A s101] epoch 7 valid_macro=0.742727 loss=0.453956 skip=0 (1173.5s, best=0.742727@7)
[A s101] epoch 8 valid_macro=0.742057 loss=0.453709 skip=0 (1171.1s, best=0.742727@7)
[A s101] epoch 9 valid_macro=0.743308 loss=0.453485 skip=0 (1187.5s, best=0.743308@9)
[A s101] epoch 10 valid_macro=0.742811 loss=0.453307 skip=0 (1192.4s, best=0.743308@9)
[A s101] epoch 11 valid_macro=0.742832 loss=0.453165 skip=0 (1173.1s, best=0.743308@9)
[A s101] epoch 12 valid_macro=0.743227 loss=0.453054 skip=0 (1150.5s, best=0.743308@9)
[A s101] epoch 13 valid_macro=0.743282 loss=0.452957 skip=0 (1141.9s, best=0.743308@9)
[A s101] epoch 14 valid_macro=0.742242 loss=0.452872 skip=0 (1144.0s, best=0.743308@9)
[A s101] epoch 15 valid_macro=0.741466 loss=0.452796 skip=0 (1146.9s, best=0.743308@9)
[A s101] epoch 16 valid_macro=0.742572 loss=0.452739 skip=0 (1188.7s, best=0.743308@9)
