epoch,top_k,valid_auc,entropy_l0,entropy_l1,entropy_l2,entropy_mean,divergence_ratio,lb_loss,wall_clock_sec
1,4,0.7798,0.0771,0.5978,0.5096,0.3948,0.67,0.000000,60.4
2,4,0.7795,0.1793,0.4590,0.3653,0.3345,0.67,0.000000,59.6
3,2,0.7783,0.6025,0.3589,0.2622,0.4079,0.67,0.008260,61.8
4,2,0.7774,0.8286,0.3259,0.2390,0.4645,0.67,0.007695,63.1
5,2,0.7757,0.8878,0.2959,0.2083,0.4640,0.67,0.007366,62.8
6,2,0.7738,0.8377,0.2691,0.1917,0.4328,0.67,0.007148,59.3
7,2,0.7716,0.8712,0.2532,0.1790,0.4345,0.67,0.006972,59.2
8,2,0.7702,0.8381,0.2427,0.1692,0.4166,0.67,0.006857,58.9
9,2,0.7679,0.7971,0.2283,0.1637,0.3964,0.67,0.006802,58.6
10,2,0.7667,0.7884,0.2209,0.1526,0.3873,0.67,0.006738,57.8
11,2,0.7644,0.7808,0.2161,0.1495,0.3821,1.00,0.006702,59.3
12,2,0.7624,0.7642,0.2122,0.1460,0.3742,1.00,0.006679,54.1
