epoch,top_k,valid_auc,entropy_l0,entropy_l1,entropy_l2,entropy_mean,divergence_ratio,lb_loss,wall_clock_sec
1,4,0.7785,1.1130,1.2211,1.1388,1.1577,1.00,0.000000,96.5
2,4,0.7759,1.0724,1.0847,1.0313,1.0628,0.67,0.000000,96.2
3,2,0.7604,1.3590,1.1792,1.0282,1.1888,1.00,0.080616,161.7
4,2,0.7487,1.3529,1.0836,0.9335,1.1233,1.00,0.079605,161.4
5,2,0.7373,1.3313,1.0079,0.8531,1.0641,1.00,0.080039,162.4
6,2,0.7256,1.3206,0.9409,0.7793,1.0136,1.00,0.080021,159.6
7,2,0.7170,1.3011,0.8708,0.7116,0.9612,1.00,0.080163,161.1
8,2,0.7064,1.2847,0.8226,0.6620,0.9231,1.00,0.080610,147.0
9,2,0.6995,1.2740,0.7762,0.6116,0.8873,1.00,0.080949,155.3
10,2,0.6937,1.2540,0.7410,0.5735,0.8562,1.00,0.080996,158.9
11,2,0.6875,1.2339,0.7051,0.5395,0.8261,1.00,0.081230,156.0
12,2,0.6840,1.2149,0.6803,0.5120,0.8024,1.00,0.081445,153.9
13,2,0.6812,1.2184,0.6529,0.4884,0.7866,1.00,0.081596,158.1
14,2,0.6772,1.2053,0.6335,0.4693,0.7694,1.00,0.081627,161.6
15,2,0.6755,1.1920,0.6136,0.4512,0.7523,1.00,0.081567,154.6
16,2,0.6711,1.1832,0.5992,0.4380,0.7401,1.00,0.081705,157.9
