Model,Scenario,Method,AUC
Vanilla,1,SUM,0.7336
Vanilla,1,concat CR_0,0.7342
Vanilla,1,concat CR_1,0.7340
Vanilla,1,concat CR_2,0.7343
Vanilla,1,concat CR_3,0.7350
Vanilla,1,concat CR_4,0.7367
Vanilla,1,concat CR_5,0.7342
Vanilla,1,gate CR_0,0.7348
Vanilla,1,gate CR_1,0.7351
Vanilla,1,gate CR_2,0.7349
Vanilla,1,gate CR_3,0.7352
Vanilla,1,gate CR_4,0.7353
Vanilla,1,gate CR_5,0.7345
Vanilla,1,Vanilla,0.7330
MoE,1,SUM,0.7353
MoE,1,concat CR_0,0.7341
MoE,1,concat CR_1,0.7350
MoE,1,concat CR_2,0.7342
MoE,1,concat CR_3,0.7347
MoE,1,concat CR_4,0.7359
MoE,1,concat CR_5,0.7353
MoE,1,gate CR_0,0.7346
MoE,1,gate CR_1,0.7350
MoE,1,gate CR_2,0.7344
MoE,1,gate CR_3,0.7348
MoE,1,gate CR_4,0.7349
MoE,1,gate CR_5,0.7363
MoE,1,Vanilla,0.7335
Vanilla,0,SUM,0.7135
Vanilla,0,concat CR_0,0.7142
Vanilla,0,concat CR_1,0.7143
Vanilla,0,concat CR_2,0.7165
Vanilla,0,concat CR_3,0.7120
Vanilla,0,concat CR_4,0.7129
Vanilla,0,concat CR_5,0.7137
Vanilla,0,gate CR_0,0.7135
Vanilla,0,gate CR_1,0.7135
Vanilla,0,gate CR_2,0.7137
Vanilla,0,gate CR_3,0.7180
Vanilla,0,gate CR_4,0.7182
Vanilla,0,gate CR_5,0.7145
Vanilla,0,Vanilla,0.7141
MoE,0,SUM,0.7133
MoE,0,concat CR_0,0.7138
MoE,0,concat CR_1,0.7154
MoE,0,concat CR_2,0.7118
MoE,0,concat CR_3,0.7122
MoE,0,concat CR_4,0.7084
MoE,0,concat CR_5,0.7117
MoE,0,gate CR_0,0.7146
MoE,0,gate CR_1,0.7148
MoE,0,gate CR_2,0.7149
MoE,0,gate CR_3,0.7132
MoE,0,gate CR_4,0.7161
MoE,0,gate CR_5,0.7149
MoE,0,Vanilla,0.7143
Vanilla,4,SUM,0.7102
Vanilla,4,concat CR_0,0.7044
Vanilla,4,concat CR_1,0.7145
Vanilla,4,concat CR_2,0.7211
Vanilla,4,concat CR_3,0.7233
Vanilla,4,concat CR_4,0.7024
Vanilla,4,concat CR_5,0.7173
Vanilla,4,gate CR_0,0.7134
Vanilla,4,gate CR_1,0.7040
Vanilla,4,gate CR_2,0.7212
Vanilla,4,gate CR_3,0.7217
Vanilla,4,gate CR_4,0.7171
Vanilla,4,gate CR_5,0.7152
Vanilla,4,Vanilla,0.7154
MoE,4,SUM,0.7072
MoE,4,concat CR_0,0.7078
MoE,4,concat CR_1,0.7151
MoE,4,concat CR_2,0.7226
MoE,4,concat CR_3,0.7181
MoE,4,concat CR_4,0.7114
MoE,4,concat CR_5,0.7133
MoE,4,gate CR_0,0.7146
MoE,4,gate CR_1,0.7102
MoE,4,gate CR_2,0.7200
MoE,4,gate CR_3,0.7214
MoE,4,gate CR_4,0.7165
MoE,4,gate CR_5,0.7200
MoE,4,Vanilla,0.7100
Vanilla,2,SUM,0.7979
Vanilla,2,concat CR_0,0.7960
Vanilla,2,concat CR_1,0.8023
Vanilla,2,concat CR_2,0.7962
Vanilla,2,concat CR_3,0.7991
Vanilla,2,concat CR_4,0.7978
Vanilla,2,concat CR_5,0.8000
Vanilla,2,gate CR_0,0.8016
Vanilla,2,gate CR_1,0.7941
Vanilla,2,gate CR_2,0.7955
Vanilla,2,gate CR_3,0.7984
Vanilla,2,gate CR_4,0.7998
Vanilla,2,gate CR_5,0.8010
Vanilla,2,Vanilla,0.8000
MoE,2,SUM,0.8002
MoE,2,concat CR_0,0.8023
MoE,2,concat CR_1,0.7972
MoE,2,concat CR_2,0.8016
MoE,2,concat CR_3,0.7994
