run_name,arm,expert_learning_rate,order,seed,device,backward_transfer,learning_accuracy,average_forgetting,worst_task_forgetting,wall_clock_seconds
shared-residual-specialist-screen-task-head-only-lr-5e-4-scenario-0-then-scenario-3-seed-42,task-head-only,0.0005,"0,3",42,cuda:0,0.0,0.7384243302584952,0.0,0.0,65.54311817884445
shared-residual-specialist-screen-task-head-only-lr-5e-4-scenario-0-then-scenario-3-seed-123,task-head-only,0.0005,"0,3",123,cuda:1,0.0,0.7204076225995526,0.0,0.0,65.57588891126215
shared-residual-specialist-screen-task-head-only-lr-5e-4-scenario-0-then-scenario-3-seed-456,task-head-only,0.0005,"0,3",456,cuda:0,0.0,0.7152036236930713,0.0,0.0,68.82238286361098
shared-residual-specialist-screen-specialist-only-lr-2e-4-scenario-0-then-scenario-3-seed-42,specialist-only,0.0002,"0,3",42,cuda:0,-1.226113409058538e-05,0.7335162029979172,1.226113409058538e-05,1.226113409058538e-05,65.145357824862
shared-residual-specialist-screen-specialist-only-lr-2e-4-scenario-0-then-scenario-3-seed-123,specialist-only,0.0002,"0,3",123,cuda:1,1.9172893910734956e-05,0.7221294771181788,0.0,0.0,68.18322232924402
shared-residual-specialist-screen-specialist-only-lr-2e-4-scenario-0-then-scenario-3-seed-456,specialist-only,0.0002,"0,3",456,cuda:0,-8.224356737862593e-06,0.719138728419168,8.224356737862593e-06,8.224356737862593e-06,69.52105759643018
shared-residual-specialist-screen-specialist-only-lr-5e-4-scenario-0-then-scenario-3-seed-42,specialist-only,0.0005,"0,3",42,cuda:0,-5.3093152038719005e-05,0.7330355028776934,5.3093152038719005e-05,5.3093152038719005e-05,66.92102316766977
shared-residual-specialist-screen-specialist-only-lr-5e-4-scenario-0-then-scenario-3-seed-123,specialist-only,0.0005,"0,3",123,cuda:1,5.2676169848830945e-05,0.7224363371898581,0.0,0.0,64.1207237560302
shared-residual-specialist-screen-specialist-only-lr-5e-4-scenario-0-then-scenario-3-seed-456,specialist-only,0.0005,"0,3",456,cuda:0,-3.415966546083116e-05,0.7197567105284273,3.415966546083116e-05,3.415966546083116e-05,64.2615276016295
shared-residual-specialist-screen-specialist-only-lr-1e-3-scenario-0-then-scenario-3-seed-42,specialist-only,0.001,"0,3",42,cuda:0,-0.00015370642859002803,0.7321859858490214,0.00015370642859002803,0.00015370642859002803,67.6898550875485
shared-residual-specialist-screen-specialist-only-lr-1e-3-scenario-0-then-scenario-3-seed-123,specialist-only,0.001,"0,3",123,cuda:1,9.108451865835754e-05,0.7237622376897973,0.0,0.0,69.21124158427119
shared-residual-specialist-screen-specialist-only-lr-1e-3-scenario-0-then-scenario-3-seed-456,specialist-only,0.001,"0,3",456,cuda:0,-0.00010907330699683193,0.7203819529937654,0.00010907330699683193,0.00010907330699683193,64.1438740696758
shared-residual-specialist-screen-task-head-only-lr-5e-4-scenario-3-then-scenario-0-seed-42,task-head-only,0.0005,"3,0",42,cuda:0,0.0,0.7387065808267006,0.0,0.0,64.02860569395125
shared-residual-specialist-screen-task-head-only-lr-5e-4-scenario-3-then-scenario-0-seed-123,task-head-only,0.0005,"3,0",123,cuda:1,0.0,0.7205805826964424,0.0,0.0,65.1915888749063
shared-residual-specialist-screen-task-head-only-lr-5e-4-scenario-3-then-scenario-0-seed-456,task-head-only,0.0005,"3,0",456,cuda:0,0.0,0.7152337874689286,0.0,0.0,61.55024312995374
shared-residual-specialist-screen-specialist-only-lr-2e-4-scenario-3-then-scenario-0-seed-42,specialist-only,0.0002,"3,0",42,cuda:0,-0.011804781900762729,0.7387894467252383,0.011804781900762729,0.011804781900762729,66.20094136334956
shared-residual-specialist-screen-specialist-only-lr-2e-4-scenario-3-then-scenario-0-seed-123,specialist-only,0.0002,"3,0",123,cuda:1,0.003059388122375495,0.7212463742459325,0.0,0.0,67.22045185603201
shared-residual-specialist-screen-specialist-only-lr-2e-4-scenario-3-then-scenario-0-seed-456,specialist-only,0.0002,"3,0",456,cuda:0,0.005737423943782627,0.7159648448035248,0.0,0.0,63.44120892137289
shared-residual-specialist-screen-specialist-only-lr-5e-4-scenario-3-then-scenario-0-seed-42,specialist-only,0.0005,"3,0",42,cuda:0,-0.013771531408004134,0.7393257312205557,0.013771531408004134,0.013771531408004134,65.49828938767314
shared-residual-specialist-screen-specialist-only-lr-5e-4-scenario-3-then-scenario-0-seed-123,specialist-only,0.0005,"3,0",123,cuda:1,0.0020738709400976996,0.721601249896093,0.0,0.0,67.69501796364784
shared-residual-specialist-screen-specialist-only-lr-5e-4-scenario-3-then-scenario-0-seed-456,specialist-only,0.0005,"3,0",456,cuda:0,0.006465849687205427,0.7163720773754267,0.0,0.0,66.57601108774543
shared-residual-specialist-screen-specialist-only-lr-1e-3-scenario-3-then-scenario-0-seed-42,specialist-only,0.001,"3,0",42,cuda:0,-0.01641528837089734,0.7399124163059787,0.01641528837089734,0.01641528837089734,64.33537349291146
shared-residual-specialist-screen-specialist-only-lr-1e-3-scenario-3-then-scenario-0-seed-123,specialist-only,0.001,"3,0",123,cuda:1,0.0011911903333619023,0.721994822771293,0.0,0.0,63.54294240102172
shared-residual-specialist-screen-specialist-only-lr-1e-3-scenario-3-then-scenario-0-seed-456,specialist-only,0.001,"3,0",456,cuda:0,0.007472791156054592,0.7167593395772639,0.0,0.0,65.84726503677666
