epoch,top_k,valid_auc,entropy_l0,entropy_l1,entropy_l2,entropy_mean,divergence_ratio,lb_loss,wall_clock_sec
1,4,0.7787,1.3139,1.2342,1.1430,1.2304,0.67,0.000000,57.4
2,4,0.7780,1.2354,1.0317,0.9761,1.0811,0.67,0.000000,59.0
3,2,0.7718,1.3044,0.7181,0.5599,0.8608,1.00,0.006545,58.8
4,2,0.7703,1.2859,0.6360,0.4834,0.8018,0.67,0.006226,60.2
5,2,0.7689,1.3086,0.5653,0.4060,0.7600,1.00,0.006218,60.6
6,2,0.7666,1.2196,0.5488,0.3719,0.7134,0.67,0.006242,58.4
7,2,0.7641,1.2257,0.5204,0.3341,0.6934,1.00,0.006230,59.2
8,2,0.7624,1.2315,0.5072,0.3180,0.6856,0.67,0.006223,58.6
9,2,0.7599,1.1710,0.4918,0.3018,0.6548,1.00,0.006229,59.6
10,2,0.7578,1.1621,0.4868,0.2860,0.6450,0.67,0.006223,58.5
11,2,0.7561,1.1660,0.4791,0.2729,0.6394,0.67,0.006226,58.4
12,2,0.7540,1.1567,0.4626,0.2609,0.6267,0.67,0.006219,60.3
