epoch,top_k,valid_auc,entropy_l0,entropy_l1,entropy_l2,entropy_mean,divergence_ratio,lb_loss,wall_clock_sec
1,4,0.7783,1.2980,1.1278,1.0812,1.1690,1.00,0.000000,42.8
2,4,0.7795,1.2098,0.9924,0.9188,1.0403,1.00,0.000000,39.3
3,2,0.7751,1.3084,0.8632,0.6988,0.9568,1.00,0.006219,56.3
4,2,0.7733,1.2935,0.7917,0.5710,0.8854,1.00,0.006126,61.2
5,2,0.7717,1.2796,0.7207,0.4870,0.8291,1.00,0.006112,59.5
6,2,0.7695,1.2481,0.6862,0.4451,0.7931,1.00,0.006101,54.4
7,2,0.7685,1.2375,0.6322,0.3894,0.7530,1.00,0.006094,57.8
8,2,0.7668,1.2386,0.6016,0.3387,0.7263,1.00,0.006089,61.3
9,2,0.7649,1.2192,0.5779,0.3225,0.7065,1.00,0.006080,58.1
10,2,0.7617,1.2025,0.5642,0.3020,0.6896,1.00,0.006079,55.2
11,2,0.7603,1.1821,0.5534,0.2890,0.6748,1.00,0.006078,58.5
12,2,0.7571,1.1741,0.5377,0.2683,0.6600,1.00,0.006071,59.9
13,2,0.7579,1.1836,0.5293,0.2511,0.6546,1.00,0.006073,56.3
14,2,0.7554,1.1642,0.5103,0.2374,0.6373,1.00,0.006072,57.2
15,2,0.7528,1.1664,0.5038,0.2311,0.6337,1.00,0.006071,59.3
16,2,0.7528,1.1459,0.5002,0.2207,0.6222,1.00,0.006072,58.1
17,2,0.7504,1.1457,0.4943,0.2098,0.6166,1.00,0.006070,57.1
18,2,0.7481,1.1443,0.4804,0.2027,0.6092,1.00,0.006071,57.0
19,2,0.7468,1.1336,0.4717,0.1924,0.5993,1.00,0.006068,27.7
20,2,0.7453,1.1422,0.4657,0.1876,0.5985,1.00,0.006069,23.0
21,2,0.7438,1.1309,0.4577,0.1799,0.5895,1.00,0.006071,23.2
22,2,0.7442,1.1165,0.4517,0.1747,0.5809,1.00,0.006069,23.0
23,2,0.7411,1.0940,0.4544,0.1694,0.5726,1.00,0.006069,23.0
24,2,0.7396,1.1246,0.4467,0.1636,0.5783,1.00,0.006070,22.7
25,2,0.7385,1.1288,0.4403,0.1587,0.5759,1.00,0.006071,22.8
26,2,0.7406,1.1245,0.4323,0.1528,0.5699,1.00,0.006070,22.9
27,2,0.7370,1.1159,0.4309,0.1469,0.5645,1.00,0.006069,22.6
28,2,0.7380,1.1072,0.4291,0.1443,0.5602,1.00,0.006067,22.3
29,2,0.7367,1.1001,0.4248,0.1407,0.5552,1.00,0.006067,22.5
30,2,0.7370,1.1075,0.4222,0.1361,0.5553,1.00,0.006067,20.5
