epoch,top_k,valid_auc,entropy_l0,entropy_l1,entropy_l2,entropy_mean,divergence_ratio,lb_loss,wall_clock_sec
1,4,0.7783,1.2676,1.2113,1.1224,1.2004,0.33,0.000000,96.2
2,4,0.7764,1.1875,1.0860,0.9988,1.0908,0.67,0.000000,95.6
3,2,0.7611,1.3584,1.1312,1.0000,1.1632,1.00,0.080714,153.0
4,2,0.7489,1.3483,1.0485,0.9143,1.1037,0.67,0.079689,159.9
5,2,0.7382,1.3352,0.9673,0.8374,1.0467,1.00,0.079841,159.5
6,2,0.7286,1.3274,0.9277,0.7695,1.0082,1.00,0.080139,152.1
7,2,0.7166,1.3076,0.8618,0.7023,0.9572,1.00,0.080513,160.2
8,2,0.7094,1.2819,0.8159,0.6448,0.9142,1.00,0.080743,146.0
9,2,0.7012,1.2741,0.7805,0.5978,0.8841,1.00,0.080963,160.2
10,2,0.6933,1.2533,0.7434,0.5585,0.8517,1.00,0.081316,160.4
11,2,0.6906,1.2463,0.7131,0.5239,0.8278,1.00,0.081219,160.9
12,2,0.6840,1.2199,0.6872,0.4965,0.8012,1.00,0.081706,153.5
13,2,0.6794,1.2138,0.6656,0.4737,0.7844,1.00,0.081436,160.0
14,2,0.6770,1.2104,0.6509,0.4557,0.7723,1.00,0.081450,159.8
15,2,0.6765,1.1983,0.6308,0.4371,0.7554,1.00,0.081702,160.9
16,2,0.6738,1.1904,0.6186,0.4264,0.7451,1.00,0.081559,161.4
