Model,Scenario,Method,AUC
Vanilla,1,SUM,0.7342
Vanilla,1,concat CR_0,0.7351
Vanilla,1,concat CR_1,0.7342
Vanilla,1,concat CR_2,0.7341
Vanilla,1,concat CR_3,0.7348
Vanilla,1,concat CR_4,0.7349
Vanilla,1,concat CR_5,0.7355
Vanilla,1,gate CR_0,0.7350
Vanilla,1,gate CR_1,0.7357
Vanilla,1,gate CR_2,0.7353
Vanilla,1,gate CR_3,0.7354
Vanilla,1,gate CR_4,0.7351
Vanilla,1,gate CR_5,0.7360
Vanilla,1,Vanilla,0.7336
MoE,1,SUM,0.7349
MoE,1,concat CR_0,0.7342
MoE,1,concat CR_1,0.7346
MoE,1,concat CR_2,0.7355
MoE,1,concat CR_3,0.7344
MoE,1,concat CR_4,0.7347
MoE,1,concat CR_5,0.7353
MoE,1,gate CR_0,0.7347
MoE,1,gate CR_1,0.7339
MoE,1,gate CR_2,0.7359
MoE,1,gate CR_3,0.7347
MoE,1,gate CR_4,0.7357
MoE,1,gate CR_5,0.7340
MoE,1,Vanilla,0.7346
Vanilla,0,SUM,0.7127
Vanilla,0,concat CR_0,0.7120
Vanilla,0,concat CR_1,0.7157
Vanilla,0,concat CR_2,0.7129
Vanilla,0,concat CR_3,0.7165
Vanilla,0,concat CR_4,0.7138
Vanilla,0,concat CR_5,0.7120
Vanilla,0,gate CR_0,0.7149
Vanilla,0,gate CR_1,0.7147
Vanilla,0,gate CR_2,0.7164
Vanilla,0,gate CR_3,0.7140
Vanilla,0,gate CR_4,0.7143
Vanilla,0,gate CR_5,0.7154
Vanilla,0,Vanilla,0.7146
MoE,0,SUM,0.7104
MoE,0,concat CR_0,0.7156
MoE,0,concat CR_1,0.7159
MoE,0,concat CR_2,0.7146
MoE,0,concat CR_3,0.7145
MoE,0,concat CR_4,0.7135
MoE,0,concat CR_5,0.7125
MoE,0,gate CR_0,0.7096
MoE,0,gate CR_1,0.7107
MoE,0,gate CR_2,0.7154
MoE,0,gate CR_3,0.7148
MoE,0,gate CR_4,0.7130
MoE,0,gate CR_5,0.7139
MoE,0,Vanilla,0.7136
Vanilla,4,SUM,0.7053
Vanilla,4,concat CR_0,0.7127
Vanilla,4,concat CR_1,0.7173
Vanilla,4,concat CR_2,0.7193
Vanilla,4,concat CR_3,0.7138
Vanilla,4,concat CR_4,0.7196
