Model,Scenario,Method,AUC
Vanilla,1,SUM,0.7302
Vanilla,1,concat CR_0,0.7305
Vanilla,1,concat CR_1,0.7322
Vanilla,1,concat CR_2,0.7326
Vanilla,1,concat CR_3,0.7329
Vanilla,1,concat CR_4,0.7330
Vanilla,1,concat CR_5,0.7321
Vanilla,1,gate CR_0,0.7327
Vanilla,1,gate CR_1,0.7326
Vanilla,1,gate CR_2,0.7340
Vanilla,1,gate CR_3,0.7343
Vanilla,1,gate CR_4,0.7335
Vanilla,1,gate CR_5,0.7325
Vanilla,1,Vanilla,0.7303
MoE_V2,1,SUM,0.7307
MoE_V2,1,concat CR_0,0.7314
MoE_V2,1,concat CR_1,0.7322
MoE_V2,1,concat CR_2,0.7319
MoE_V2,1,concat CR_3,0.7329
MoE_V2,1,concat CR_4,0.7316
MoE_V2,1,concat CR_5,0.7318
MoE_V2,1,gate CR_0,0.7318
MoE_V2,1,gate CR_1,0.7323
MoE_V2,1,gate CR_2,0.7330
MoE_V2,1,gate CR_3,0.7325
MoE_V2,1,gate CR_4,0.7320
MoE_V2,1,gate CR_5,0.7325
MoE_V2,1,Vanilla,0.7312
Vanilla,0,SUM,0.7132
Vanilla,0,concat CR_0,0.7129
Vanilla,0,concat CR_1,0.7126
Vanilla,0,concat CR_2,0.7133
Vanilla,0,concat CR_3,0.7127
Vanilla,0,concat CR_4,0.7115
Vanilla,0,concat CR_5,0.7126
Vanilla,0,gate CR_0,0.7107
Vanilla,0,gate CR_1,0.7129
Vanilla,0,gate CR_2,0.7130
Vanilla,0,gate CR_3,0.7132
Vanilla,0,gate CR_4,0.7124
Vanilla,0,gate CR_5,0.7130
Vanilla,0,Vanilla,0.7095
MoE_V2,0,SUM,0.7115
MoE_V2,0,concat CR_0,0.7133
MoE_V2,0,concat CR_1,0.7119
MoE_V2,0,concat CR_2,0.7127
MoE_V2,0,concat CR_3,0.7115
MoE_V2,0,concat CR_4,0.7127
MoE_V2,0,concat CR_5,0.7135
MoE_V2,0,gate CR_0,0.7109
MoE_V2,0,gate CR_1,0.7153
MoE_V2,0,gate CR_2,0.7115
MoE_V2,0,gate CR_3,0.7125
MoE_V2,0,gate CR_4,0.7128
MoE_V2,0,gate CR_5,0.7133
MoE_V2,0,Vanilla,0.7088
Vanilla,4,SUM,0.7135
Vanilla,4,concat CR_0,0.7147
Vanilla,4,concat CR_1,0.7137
Vanilla,4,concat CR_2,0.7213
Vanilla,4,concat CR_3,0.7200
Vanilla,4,concat CR_4,0.7177
Vanilla,4,concat CR_5,0.7170
Vanilla,4,gate CR_0,0.7164
Vanilla,4,gate CR_1,0.7043
Vanilla,4,gate CR_2,0.7168
Vanilla,4,gate CR_3,0.7221
Vanilla,4,gate CR_4,0.7176
Vanilla,4,gate CR_5,0.7208
Vanilla,4,Vanilla,0.7133
MoE_V2,4,SUM,0.7142
MoE_V2,4,concat CR_0,0.6986
MoE_V2,4,concat CR_1,0.7178
MoE_V2,4,concat CR_2,0.7250
MoE_V2,4,concat CR_3,0.7223
MoE_V2,4,concat CR_4,0.7253
MoE_V2,4,concat CR_5,0.7263
MoE_V2,4,gate CR_0,0.7159
MoE_V2,4,gate CR_1,0.7213
MoE_V2,4,gate CR_2,0.7206
MoE_V2,4,gate CR_3,0.7212
MoE_V2,4,gate CR_4,0.7222
MoE_V2,4,gate CR_5,0.7275
MoE_V2,4,Vanilla,0.7149
Vanilla,2,SUM,0.7975
Vanilla,2,concat CR_0,0.7966
Vanilla,2,concat CR_1,0.7981
Vanilla,2,concat CR_2,0.7992
Vanilla,2,concat CR_3,0.7983
Vanilla,2,concat CR_4,0.8007
