tag,model,backbone,router_mode,expert_mode,shared_mode,seed,scenario,method,auc
fully-routed_rsuppress_eencourage_snone_seed42,fully-routed,modulated,suppress,encourage,none,42,1,SUM,0.7341
fully-routed_rsuppress_eencourage_snone_seed42,fully-routed,modulated,suppress,encourage,none,42,1,gate CR_1,0.7348
partial-shared_rsuppress_enone_sencourage_seed42,partial-shared,modulated,suppress,none,encourage,42,1,SUM,0.7334
fully-routed_rsuppress_eencourage_snone_seed42,fully-routed,modulated,suppress,encourage,none,42,1,gate CR_3,0.7355
partial-shared_rsuppress_enone_sencourage_seed42,partial-shared,modulated,suppress,none,encourage,42,1,gate CR_1,0.7341
fully-routed_rsuppress_eencourage_snone_seed42,fully-routed,modulated,suppress,encourage,none,42,1,concat CR_1,0.7345
partial-shared_rsuppress_enone_sencourage_seed42,partial-shared,modulated,suppress,none,encourage,42,1,gate CR_3,0.7349
partial-shared_rsuppress_enone_sencourage_seed42,partial-shared,modulated,suppress,none,encourage,42,1,concat CR_1,0.7344
fully-routed_rsuppress_eencourage_snone_seed42,fully-routed,modulated,suppress,encourage,none,42,1,concat CR_3,0.7348
partial-shared_rsuppress_enone_sencourage_seed42,partial-shared,modulated,suppress,none,encourage,42,1,concat CR_3,0.7344
fully-routed_rsuppress_eencourage_snone_seed42,fully-routed,modulated,suppress,encourage,none,42,0,SUM,0.7125
partial-shared_rsuppress_enone_sencourage_seed42,partial-shared,modulated,suppress,none,encourage,42,0,SUM,0.7178
fully-routed_rsuppress_eencourage_snone_seed42,fully-routed,modulated,suppress,encourage,none,42,0,gate CR_1,0.7145
fully-routed_rsuppress_eencourage_snone_seed42,fully-routed,modulated,suppress,encourage,none,42,0,gate CR_3,0.7114
partial-shared_rsuppress_enone_sencourage_seed42,partial-shared,modulated,suppress,none,encourage,42,0,gate CR_1,0.7137
fully-routed_rsuppress_eencourage_snone_seed42,fully-routed,modulated,suppress,encourage,none,42,0,concat CR_1,0.7123
partial-shared_rsuppress_enone_sencourage_seed42,partial-shared,modulated,suppress,none,encourage,42,0,gate CR_3,0.7141
fully-routed_rsuppress_eencourage_snone_seed42,fully-routed,modulated,suppress,encourage,none,42,0,concat CR_3,0.7142
partial-shared_rsuppress_enone_sencourage_seed42,partial-shared,modulated,suppress,none,encourage,42,0,concat CR_1,0.7121
fully-routed_rsuppress_eencourage_snone_seed42,fully-routed,modulated,suppress,encourage,none,42,4,SUM,0.7238
partial-shared_rsuppress_enone_sencourage_seed42,partial-shared,modulated,suppress,none,encourage,42,0,concat CR_3,0.7167
fully-routed_rsuppress_eencourage_snone_seed42,fully-routed,modulated,suppress,encourage,none,42,4,gate CR_1,0.7165
partial-shared_rsuppress_enone_sencourage_seed42,partial-shared,modulated,suppress,none,encourage,42,4,SUM,0.7061
fully-routed_rsuppress_eencourage_snone_seed42,fully-routed,modulated,suppress,encourage,none,42,4,gate CR_3,0.7228
fully-routed_rsuppress_eencourage_snone_seed42,fully-routed,modulated,suppress,encourage,none,42,4,concat CR_1,0.7111
partial-shared_rsuppress_enone_sencourage_seed42,partial-shared,modulated,suppress,none,encourage,42,4,gate CR_1,0.7210
partial-shared_rsuppress_enone_sencourage_seed42,partial-shared,modulated,suppress,none,encourage,42,4,gate CR_3,0.7231
fully-routed_rsuppress_eencourage_snone_seed42,fully-routed,modulated,suppress,encourage,none,42,4,concat CR_3,0.7148
fully-routed_rsuppress_eencourage_snone_seed42,fully-routed,modulated,suppress,encourage,none,42,2,SUM,0.7965
partial-shared_rsuppress_enone_sencourage_seed42,partial-shared,modulated,suppress,none,encourage,42,4,concat CR_1,0.7079
fully-routed_rsuppress_eencourage_snone_seed42,fully-routed,modulated,suppress,encourage,none,42,2,gate CR_1,0.7888
partial-shared_rsuppress_enone_sencourage_seed42,partial-shared,modulated,suppress,none,encourage,42,4,concat CR_3,0.7235
