model,router_mode,expert_mode,shared_mode,seed,mean_per_scenario,test_auc_all,s0_auc,s1_auc,s2_auc,s3_auc,s4_auc,s5_auc,s6_auc,s8_auc
fully-routed,none,none,none,42,0.7154,0.7690,0.6859,0.7172,0.7846,0.7199,0.7130,0.6031,0.7274,0.7724
partial-shared,none,none,none,42,0.7094,0.7619,0.6624,0.7080,0.7765,0.7103,0.7099,0.6592,0.7113,0.7380
fully-routed,none,encourage,none,42,0.7176,0.7688,0.6837,0.7181,0.7760,0.7191,0.7123,0.6330,0.7229,0.7757
partial-shared,none,none,encourage,42,0.7130,0.7667,0.6677,0.7146,0.7950,0.7095,0.7048,0.6738,0.7231,0.7152
fully-routed,none,suppress,none,42,0.7206,0.7693,0.6879,0.7178,0.7850,0.7233,0.7155,0.6220,0.7229,0.7901
partial-shared,none,none,suppress,42,0.7087,0.7625,0.6665,0.7077,0.7888,0.6823,0.7021,0.6964,0.7208,0.7048
fully-routed,encourage,none,none,42,0.7166,0.7680,0.6841,0.7157,0.7842,0.7067,0.7112,0.6337,0.7207,0.7764
partial-shared,none,encourage,none,42,0.6761,0.7596,0.6666,0.7068,0.7774,0.6509,0.6983,0.6380,0.7125,0.5580
fully-routed,encourage,encourage,none,42,0.7242,0.7684,0.6829,0.7163,0.7842,0.7407,0.7144,0.6437,0.7201,0.7913
partial-shared,none,encourage,encourage,42,0.7140,0.7645,0.6704,0.7118,0.7833,0.7452,0.7060,0.6610,0.7228,0.7114
fully-routed,encourage,suppress,none,42,0.7108,0.7687,0.6818,0.7170,0.7804,0.6970,0.7123,0.6332,0.7297,0.7350
partial-shared,none,encourage,suppress,42,0.6932,0.7612,0.6651,0.7068,0.7795,0.6624,0.7000,0.6621,0.7209,0.6486
fully-routed,suppress,none,none,42,0.7189,0.7707,0.6882,0.7205,0.7792,0.7037,0.7121,0.6465,0.7285,0.7724
partial-shared,none,suppress,none,42,0.6681,0.7534,0.6295,0.6968,0.7735,0.6184,0.6922,0.6675,0.6858,0.5808
fully-routed,suppress,encourage,none,42,0.7173,0.7715,0.6910,0.7209,0.7831,0.7328,0.7170,0.6228,0.7249,0.7461
partial-shared,none,suppress,encourage,42,0.6919,0.7610,0.6568,0.7074,0.7786,0.6558,0.7047,0.6284,0.7112,0.6922
fully-routed,suppress,suppress,none,42,0.7225,0.7714,0.6905,0.7213,0.7862,0.7385,0.7102,0.6345,0.7275,0.7710
partial-shared,none,suppress,suppress,42,0.7034,0.7599,0.6571,0.7052,0.7799,0.6879,0.6994,0.6665,0.7147,0.7161
partial-shared,encourage,none,none,42,0.6892,0.7619,0.6620,0.7073,0.7852,0.6276,0.7052,0.6731,0.7152,0.6377
partial-shared,encourage,none,encourage,42,0.6838,0.7637,0.6540,0.7115,0.7821,0.6394,0.7025,0.6361,0.7155,0.6290
partial-shared,encourage,none,suppress,42,0.6628,0.7525,0.6487,0.6951,0.7682,0.6024,0.6851,0.6451,0.6997,0.5583
partial-shared,encourage,encourage,none,42,0.6950,0.7587,0.6513,0.7040,0.7835,0.7212,0.6943,0.6554,0.7125,0.6377
partial-shared,encourage,encourage,encourage,42,0.6718,0.7625,0.6619,0.7096,0.7851,0.6682,0.7029,0.6420,0.7195,0.4855
partial-shared,encourage,encourage,suppress,42,0.6888,0.7497,0.6426,0.6905,0.7777,0.6378,0.6784,0.6312,0.6903,0.7622
partial-shared,encourage,suppress,none,42,0.6781,0.7540,0.6450,0.6959,0.7770,0.6676,0.6945,0.6416,0.7004,0.6025
partial-shared,suppress,encourage,none,42,0.7077,0.7676,0.6783,0.7156,0.7905,0.6596,0.7069,0.6660,0.7177,0.7266
partial-shared,encourage,suppress,encourage,42,0.6815,0.7608,0.6491,0.7071,0.7787,0.6660,0.7006,0.6538,0.7053,0.5911
partial-shared,suppress,encourage,encourage,42,0.7070,0.7653,0.6660,0.7127,0.7844,0.7133,0.7094,0.6256,0.7208,0.7239
partial-shared,encourage,suppress,suppress,42,0.6741,0.7498,0.6294,0.6916,0.7723,0.6105,0.6780,0.6444,0.6920,0.6744
partial-shared,suppress,encourage,suppress,42,0.6983,0.7652,0.6736,0.7122,0.7776,0.6726,0.7070,0.6536,0.7210,0.6690
partial-shared,suppress,suppress,none,42,0.7025,0.7635,0.6738,0.7103,0.7873,0.6953,0.7048,0.6486,0.7117,0.6884
partial-shared,suppress,none,none,42,0.7102,0.7664,0.6795,0.7144,0.7833,0.6837,0.7100,0.6585,0.7246,0.7275
partial-shared,suppress,suppress,encourage,42,0.7125,0.7668,0.6772,0.7148,0.7903,0.7234,0.7023,0.6405,0.7157,0.7360
partial-shared,suppress,none,encourage,42,0.6969,0.7671,0.6786,0.7154,0.7831,0.6846,0.7091,0.6346,0.7190,0.6512
partial-shared,suppress,suppress,suppress,42,0.7081,0.7648,0.6758,0.7118,0.7841,0.7148,0.7043,0.6517,0.7163,0.7062
partial-shared,suppress,none,suppress,42,0.6942,0.7660,0.6777,0.7134,0.7759,0.6575,0.7070,0.6651,0.7203,0.6367
fully-routed,none,none,none,123,0.7181,0.7681,0.6839,0.7171,0.7916,0.7259,0.7133,0.6269,0.7173,0.7683
fully-routed,suppress,none,none,123,0.7261,0.7706,0.6875,0.7190,0.7973,0.7627,0.7146,0.6371,0.7209,0.7700
fully-routed,suppress,encourage,none,123,0.7243,0.7703,0.6892,0.7190,0.7921,0.7285,0.7184,0.6532,0.7168,0.7773
fully-routed,suppress,suppress,none,123,0.7213,0.7692,0.6860,0.7185,0.7962,0.7306,0.7176,0.6550,0.7108,0.7555
partial-shared,none,none,none,123,0.7042,0.7565,0.6487,0.7001,0.7757,0.7192,0.7000,0.6646,0.7162,0.7091
partial-shared,suppress,encourage,none,123,0.7186,0.7643,0.6742,0.7108,0.7932,0.7244,0.7105,0.6733,0.7169,0.7456
fully-routed,none,none,none,456,0.7039,0.7676,0.6761,0.7171,0.7938,0.6286,0.7112,0.6747,0.7292,0.7006
partial-shared,suppress,none,encourage,123,0.7182,0.7660,0.6708,0.7138,0.7926,0.7233,0.7136,0.6748,0.7206,0.7365
fully-routed,suppress,none,none,456,0.7153,0.7720,0.6870,0.7223,0.7993,0.6233,0.7186,0.7077,0.7263,0.7379
partial-shared,none,none,encourage,123,0.7149,0.7637,0.6586,0.7118,0.7934,0.7116,0.7115,0.6863,0.7034,0.7428
fully-routed,suppress,encourage,none,456,0.7151,0.7721,0.6878,0.7215,0.7985,0.6620,0.7199,0.6922,0.7230,0.7157
partial-shared,encourage,none,suppress,123,0.6861,0.7499,0.6480,0.6895,0.7664,0.6787,0.6954,0.6644,0.7022,0.6441
fully-routed,suppress,suppress,none,456,0.7163,0.7710,0.6806,0.7206,0.7960,0.6800,0.7177,0.6817,0.7255,0.7281
fully-routed,suppress,suppress,none,456,0.7163,0.7710,0.6806,0.7206,0.7960,0.6800,0.7177,0.6817,0.7255,0.7281
partial-shared,none,none,none,456,0.7072,0.7599,0.6552,0.7064,0.7825,0.7152,0.6986,0.6576,0.7166,0.7257
partial-shared,none,none,none,456,0.7072,0.7599,0.6552,0.7064,0.7825,0.7152,0.6986,0.6576,0.7166,0.7257
partial-shared,suppress,encourage,none,456,0.7183,0.7666,0.6772,0.7149,0.7782,0.7074,0.7082,0.6744,0.7286,0.7573
partial-shared,suppress,encourage,none,456,0.7183,0.7666,0.6772,0.7149,0.7782,0.7074,0.7082,0.6744,0.7286,0.7573
partial-shared,suppress,none,encourage,456,0.7143,0.7658,0.6711,0.7133,0.7860,0.6861,0.7096,0.6639,0.7201,0.7638
fully-routed,suppress,none,none,42,0.25,0.7234,0.7711,0.6899,0.7206,0.7862,0.7314,0.7108,0.6536,0.7307,0.7641
partial-shared,none,none,encourage,456,0.5,0.7055,0.7589,0.6522,0.7039,0.7826,0.7148,0.6990,0.6794,0.7124,0.6994
partial-shared,encourage,none,suppress,456,0.5,0.6783,0.7441,0.6229,0.6853,0.7717,0.6163,0.6790,0.6459,0.6845,0.7206
partial-shared,suppress,none,none,42,0.25,0.7037,0.7637,0.6743,0.7098,0.7851,0.6913,0.7046,0.6649,0.7122,0.6872
fully-routed,suppress,none,none,42,1.0,0.7222,0.7717,0.6884,0.7221,0.7835,0.7174,0.7123,0.6363,0.7289,0.7888
partial-shared,suppress,none,none,42,1.0,0.6901,0.7656,0.6598,0.7143,0.7875,0.6122,0.7072,0.6732,0.7162,0.6501
fully-routed,none,encourage,none,123,0.5,0.7135,0.7688,0.6855,0.7166,0.7997,0.6966,0.7144,0.6390,0.7116,0.7445
partial-shared,none,none,suppress,456,0.5,0.6715,0.7527,0.6522,0.6949,0.7749,0.6683,0.6898,0.6277,0.7087,0.5554
fully-routed,none,suppress,none,123,0.5,0.7190,0.7689,0.6832,0.7164,0.7940,0.7334,0.7166,0.6246,0.7173,0.7663
partial-shared,none,encourage,none,456,0.5,0.6936,0.7590,0.6594,0.7047,0.7797,0.7117,0.6910,0.6545,0.7057,0.6418
fully-routed,encourage,none,none,123,0.5,0.7225,0.7684,0.6783,0.7159,0.7918,0.7332,0.7152,0.6527,0.7139,0.7790
partial-shared,none,encourage,encourage,456,0.5,0.6967,0.7583,0.6541,0.7029,0.7875,0.6916,0.6922,0.6523,0.7051,0.6878
fully-routed,encourage,encourage,none,123,0.5,0.7118,0.7692,0.6821,0.7174,0.7967,0.7049,0.7155,0.6204,0.7197,0.7375
partial-shared,none,encourage,suppress,456,0.5,0.7098,0.7578,0.6497,0.7026,0.7861,0.7061,0.6916,0.6786,0.7145,0.7494
fully-routed,encourage,suppress,none,123,0.5,0.7190,0.7684,0.6800,0.7163,0.7927,0.7237,0.7135,0.6525,0.7114,0.7621
partial-shared,none,suppress,none,456,0.5,0.7035,0.7623,0.6526,0.7093,0.7794,0.7098,0.7045,0.6495,0.7213,0.7019
fully-routed,none,encourage,none,456,0.5,0.7208,0.7682,0.6762,0.7162,0.7946,0.6976,0.7133,0.6866,0.7222,0.7595
partial-shared,none,suppress,encourage,456,0.5,0.7109,0.7633,0.6675,0.7110,0.7841,0.7004,0.7015,0.6696,0.7116,0.7416
fully-routed,none,suppress,none,456,0.5,0.7228,0.7699,0.6799,0.7191,0.7960,0.6963,0.7157,0.6676,0.7251,0.7830
partial-shared,none,suppress,suppress,456,0.5,0.7023,0.7577,0.6525,0.7033,0.7765,0.6763,0.6905,0.6627,0.7135,0.7431
fully-routed,encourage,none,none,456,0.5,0.7118,0.7597,0.6710,0.7099,0.7951,0.6574,0.7123,0.6866,0.7129,0.7493
partial-shared,encourage,none,none,456,0.5,0.6965,0.7572,0.6454,0.7019,0.7862,0.6607,0.6937,0.6541,0.7057,0.7245
fully-routed,encourage,encourage,none,456,0.5,0.7134,0.7667,0.6750,0.7165,0.7983,0.6148,0.7147,0.7058,0.7293,0.7526
partial-shared,encourage,none,encourage,456,0.5,0.7029,0.7613,0.6552,0.7083,0.7712,0.6900,0.7013,0.6418,0.7135,0.7422
fully-routed,encourage,suppress,none,456,0.5,0.7163,0.7683,0.6741,0.7165,0.8009,0.6693,0.7151,0.6937,0.7262,0.7344
partial-shared,encourage,encourage,none,456,0.5,0.6853,0.7475,0.6185,0.6866,0.7779,0.6944,0.6850,0.6248,0.7018,0.6933
partial-shared,none,none,suppress,123,0.5,0.6820,0.7544,0.6487,0.6973,0.7802,0.6830,0.6984,0.6689,0.7039,0.5758
partial-shared,encourage,encourage,encourage,456,0.5,0.7075,0.7638,0.6640,0.7109,0.7881,0.7039,0.7056,0.6663,0.7200,0.7013
partial-shared,none,encourage,none,123,0.5,0.7112,0.7562,0.6501,0.6995,0.7902,0.7131,0.7004,0.6889,0.6995,0.7479
partial-shared,encourage,encourage,suppress,456,0.5,0.6954,0.7552,0.6419,0.7009,0.7571,0.6942,0.6953,0.6753,0.7070,0.6918
partial-shared,none,encourage,encourage,123,0.5,0.6974,0.7574,0.6526,0.7019,0.7872,0.7078,0.7032,0.6400,0.6648,0.7215
partial-shared,encourage,suppress,none,456,0.5,0.6924,0.7525,0.6416,0.6961,0.7813,0.6665,0.6892,0.6384,0.6972,0.7290
partial-shared,none,encourage,suppress,123,0.5,0.6854,0.7545,0.6278,0.6978,0.7817,0.6898,0.6894,0.5980,0.7067,0.6920
partial-shared,encourage,suppress,encourage,456,0.5,0.6971,0.7635,0.6486,0.7111,0.7863,0.6704,0.7045,0.6566,0.7141,0.6849
partial-shared,none,suppress,none,123,0.5,0.6790,0.7550,0.6378,0.6977,0.7833,0.6461,0.6998,0.6420,0.6889,0.6367
partial-shared,encourage,suppress,suppress,456,0.5,0.6850,0.7481,0.6382,0.6880,0.7709,0.6834,0.6770,0.6266,0.6936,0.7023
partial-shared,none,suppress,encourage,123,0.5,0.7027,0.7582,0.6344,0.7031,0.7824,0.7028,0.7020,0.6658,0.7026,0.7283
partial-shared,suppress,none,none,456,0.5,0.7184,0.7650,0.6751,0.7116,0.7878,0.7119,0.7079,0.6697,0.7237,0.7596
partial-shared,none,suppress,suppress,123,0.5,0.6778,0.7416,0.6226,0.6797,0.7602,0.6558,0.6856,0.6450,0.6853,0.6885
partial-shared,suppress,none,suppress,456,0.5,0.7148,0.7657,0.6706,0.7127,0.7885,0.6756,0.7099,0.6840,0.7282,0.7486
partial-shared,encourage,none,none,123,0.5,0.7163,0.7556,0.6483,0.6983,0.7839,0.7236,0.7020,0.6767,0.7094,0.7881
partial-shared,suppress,encourage,encourage,456,0.5,0.7155,0.7661,0.6704,0.7124,0.7953,0.7256,0.7111,0.6815,0.7245,0.7032
partial-shared,encourage,none,encourage,123,0.5,0.6810,0.7555,0.6441,0.7007,0.7489,0.6668,0.6983,0.6396,0.7021,0.6477
partial-shared,suppress,encourage,suppress,456,0.5,0.7157,0.7660,0.6719,0.7145,0.7827,0.7161,0.7095,0.6674,0.7190,0.7449
partial-shared,encourage,encourage,none,123,0.5,0.7021,0.7549,0.6458,0.6979,0.7838,0.6855,0.6998,0.6878,0.7008,0.7153
partial-shared,suppress,suppress,none,456,0.5,0.7150,0.7646,0.6696,0.7117,0.7901,0.7195,0.7033,0.6463,0.7197,0.7596
partial-shared,encourage,encourage,encourage,123,0.5,0.7111,0.7627,0.6535,0.7093,0.7903,0.7005,0.7104,0.6955,0.7197,0.7097
partial-shared,suppress,suppress,encourage,456,0.5,0.7066,0.7638,0.6609,0.7134,0.7928,0.7087,0.7014,0.6573,0.7174,0.7012
partial-shared,encourage,encourage,suppress,123,0.5,0.6973,0.7510,0.6359,0.6910,0.7885,0.6961,0.6913,0.6477,0.6998,0.7281
partial-shared,suppress,suppress,suppress,456,0.5,0.7169,0.7641,0.6731,0.7119,0.7787,0.7127,0.7039,0.6855,0.7211,0.7485
partial-shared,encourage,suppress,none,123,0.5,0.6916,0.7498,0.6424,0.6909,0.7738,0.6917,0.6924,0.6177,0.6883,0.7354
